#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
1.0,62,3235.985499
3.0,78,3240.510296
5.0,101,3246.39068
3.0,61,3249.952247
3.0,63,3253.637758
4.0,76,3258.042171
3.0,68,3262.009403
4.0,114,3268.65257
5.0,86,3273.65775
4.0,101,3279.532998
5.0,111,3285.993493
7.0,153,3294.905493
2.0,61,3298.454745
4.0,96,3316.871229
2.0,77,3321.470446
4.0,79,3326.115567
4.0,109,3332.522591
0.0,71,3336.702881
5.0,76,3341.161309
3.0,75,3345.467337
5.0,123,3352.58189
2.0,63,3356.216911
5.0,132,3363.855135
3.0,104,3369.839618
3.0,103,3375.794889
2.0,79,3380.340581
2.0,115,3386.974277
5.0,76,3391.355244
3.0,110,3397.702456
5.0,108,3403.947263
6.0,103,3409.88473
5.0,124,3417.015608
4.0,123,3424.159383
4.0,84,3429.026782
2.0,62,3432.602497
3.0,75,3436.940519
3.0,106,3443.05443
5.0,103,3448.991339
4.0,108,3455.231462
4.0,109,3461.499525
5.0,108,3467.729073
2.0,71,3471.836081
2.0,69,3475.82559
2.0,68,3479.771029
4.0,98,3485.46379
5.0,104,3491.484093
6.0,128,3498.903871
4.0,80,3503.509813
6.0,103,3509.429926
6.0,145,3517.812342
4.0,78,3522.31992
5.0,107,3528.5024
5.0,76,3532.901152
3.0,63,3536.527122
5.0,107,3542.713552
3.0,70,3546.770413
4.0,102,3552.647832
4.0,132,3560.273263
4.0,108,3566.538951
3.0,70,3570.59599
5.0,140,3578.669272
3.0,78,3583.170796
2.0,75,3587.502682
4.0,133,3595.183084
5.0,101,3601.015805
3.0,83,3605.834156
3.0,77,3610.280039
1.0,61,3613.824286
2.0,83,3618.599441
4.0,77,3623.040486
3.0,75,3627.347315
18.0,467,3654.223319
4.0,75,3658.550549
1.0,69,3662.552557
5.0,101,3668.400933
3.0,87,3673.477714
4.0,112,3679.924542
2.0,60,3683.398751
5.0,75,3687.714455
4.0,101,3693.549706
5.0,76,3697.94916
3.0,108,3704.174084
3.0,97,3709.768522
3.0,69,3713.749441
5.0,133,3721.405312
5.0,123,3728.534835
7.0,146,3736.946137
5.0,113,3743.479151
4.0,107,3749.660188
4.0,76,3754.066198
2.0,80,3758.678912
2.0,69,3762.638545
3.0,90,3767.822366
1.0,74,3772.087266
1.0,62,3775.671484
5.0,103,3781.631044
