#{"t_start": 1600111101.9033527, "env_id": null}
r,l,t
8.0,189,1360.036725
7.0,128,1363.908118
11.0,219,1371.245681
4.0,101,1374.814373
8.0,142,1378.787503
5.0,111,1382.465581
6.0,104,1386.098342
3.0,69,1386.746294
3.0,60,1389.956615
7.0,142,1393.942059
4.0,75,1394.627255
4.0,77,1397.965367
4.0,96,1401.492366
7.0,150,1405.511776
3.0,72,1406.167057
2.0,61,1409.394687
5.0,113,1413.075888
4.0,69,1413.713084
5.0,102,1417.271717
5.0,108,1420.896702
5.0,105,1424.533638
6.0,109,1428.166737
8.0,233,1432.928488
8.0,233,1440.402307
4.0,126,1444.180895
6.0,107,1447.794742
4.0,102,1451.380604
4.0,125,1455.195508
3.0,125,1458.973703
12.0,265,1466.741412
5.0,108,1470.42431
4.0,126,1474.259062
4.0,109,1477.92694
3.0,132,1481.817966
5.0,129,1485.681887
4.0,128,1489.550822
4.0,124,1493.37466
4.0,109,1494.378219
4.0,69,1497.668589
3.0,110,1501.340061
2.0,60,1501.888989
3.0,68,1505.159941
4.0,77,1505.878922
6.0,105,1509.481891
4.0,108,1513.123532
4.0,69,1516.424154
3.0,68,1517.053894
4.0,69,1520.330805
5.0,107,1523.960201
3.0,68,1524.594671
4.0,68,1527.826994
3.0,68,1528.434309
4.0,108,1532.098156
4.0,101,1535.682634
11.0,231,1543.099081
5.0,107,1544.113686
4.0,124,1547.900771
4.0,107,1551.517021
4.0,68,1554.770753
4.0,69,1555.390408
12.0,222,1562.719454
4.0,76,1566.046429
5.0,102,1567.002515
5.0,102,1570.705123
4.0,68,1574.073958
4.0,141,1578.167675
1.0,69,1578.849154
5.0,108,1582.625965
4.0,69,1585.997084
13.0,254,1593.878453
11.0,218,1598.696301
4.0,77,1602.133616
16.0,448,1617.366013
6.0,124,1618.578964
16.0,255,1626.528987
7.0,134,1633.287397
7.0,124,1637.241402
3.0,68,1637.906453
8.0,143,1642.063578
1.0,60,1645.376245
6.0,101,1646.392578
6.0,101,1650.224521
6.0,110,1653.982536
14.0,254,1661.924491
3.0,68,1665.31174
6.0,124,1669.250086
4.0,101,1670.243375
6.0,110,1674.025853
4.0,69,1677.425813
6.0,141,1681.811311
4.0,76,1682.550114
6.0,101,1686.237903
6.0,123,1690.205211
4.0,108,1693.980945
5.0,123,1697.904042
4.0,112,1701.722054
6.0,107,1706.123671
6.0,107,1709.883977
6.0,107,1710.946512
5.0,102,1714.650754
5.0,101,1718.355399
6.0,108,1722.131057
6.0,112,1725.912786
8.0,142,1730.045622
5.0,102,1733.724555
5.0,101,1734.709153
14.0,262,1742.663295
5.0,108,1746.376791
6.0,114,1750.166064
5.0,101,1753.835208
6.0,107,1757.560126
5.0,101,1761.205993
5.0,101,1762.172136
5.0,103,1765.82852
4.0,68,1769.184958
2.0,61,1769.775476
4.0,69,1773.150869
16.0,271,1781.126784
3.0,68,1781.774286
2.0,63,1785.063154
3.0,68,1785.717399
4.0,68,1789.021851
4.0,106,1792.738078
4.0,68,1793.399689
3.0,68,1796.697274
6.0,110,1800.433002
5.0,102,1801.426496
8.0,141,1808.115242
5.0,101,1809.104284
3.0,68,1812.424931
3.0,68,1813.080598
8.0,143,1819.64694
4.0,68,1820.268241
4.0,76,1823.568824
7.0,152,1827.645263
3.0,68,1828.286102
4.0,68,1831.526654
4.0,76,1832.223049
4.0,68,1835.463681
5.0,101,1839.013688
4.0,79,1839.727434
5.0,108,1843.339521
2.0,64,1846.576329
3.0,69,1847.208852
5.0,101,1850.770635
3.0,61,1853.948488
1.0,60,1854.501207
3.0,62,1857.684435
4.0,77,1858.397037
4.0,78,1861.714388
4.0,76,1862.411996
4.0,80,1865.760258
6.0,101,1869.300515
4.0,68,1869.912225
3.0,60,1873.067043
5.0,101,1876.643188
4.0,69,1877.272591
3.0,68,1880.511284
6.0,101,1881.426023
6.0,103,1884.998164
4.0,109,1888.6085
4.0,68,1891.866512
6.0,112,1892.891904
1.0,60,1896.057884
6.0,101,1899.611294
5.0,102,1903.202658
3.0,61,1903.767698
5.0,110,1907.425475
6.0,101,1910.948904
5.0,101,1911.866987
4.0,107,1915.505816
2.0,63,1918.69952
5.0,102,1922.238658
4.0,109,1923.232919
6.0,101,1926.770162
5.0,101,1930.352966
3.0,68,1933.606363
6.0,101,1934.535635
3.0,68,1937.753365
3.0,68,1938.35859
2.0,63,1941.552564
3.0,68,1942.164401
4.0,68,1945.401969
3.0,60,1945.950145
5.0,107,1949.566144
6.0,101,1953.111703
5.0,101,1956.658648
5.0,101,1960.218846
6.0,101,1961.141718
6.0,101,1964.680681
6.0,101,1968.232641
2.0,60,1968.77441
3.0,63,1971.991968
4.0,87,1975.401591
